"title","url","date","topics"
"Trump's Lawyer Calls for IRS to Not Overturn Tax Returns Until Justice Department Weighs in","https://www.allsides.com/story/trumps-lawyer-calls-irs-not-overturn-tax-returns-until-justice-department-weighs","2019-04-06","Taxes"
"Economy Adds 196,000 Jobs in March, Exceeding Expectations","https://www.allsides.com/story/economy-adds-196000-jobs-march-exceeding-expectations","2019-04-05","Economy and Jobs"
"Herman Cain Nominated to the Fed","https://www.allsides.com/story/herman-cain-nominated-fed","2019-04-05","Federal Budget"
"House Ways And Means Committee Seeks Trump Tax Returns","https://www.allsides.com/story/house-ways-and-means-committee-seeks-trump-tax-returns","2019-04-04","US House"
"Senate Republicans Use 'Nuclear Option' to Advance Trump Nominees","https://www.allsides.com/story/senate-republicans-use-nuclear-option-advance-trump-nominees","2019-04-03","US Senate"
"Chicago Elects Lori Lightfoot As Mayor","https://www.allsides.com/story/chicago-elects-lori-lightfoot-mayor","2019-04-03","Elections"
"Joe Biden Accused of Inappropriate Behavior Towards Women","https://www.allsides.com/story/joe-biden-accused-inappropriate-behavior-towards-women","2019-04-02","Politics"
"Trump Says No Vote On GOP Health Plan Until After The 2020 Election","https://www.allsides.com/story/trump-says-no-vote-gop-health-plan-until-after-2020-election","2019-04-02","Healthcare"
"Whistleblower Says Trump Admin Overturned 25 Security Clearance Denials","https://www.allsides.com/story/whistleblower-says-trump-admin-overturned-25-security-clearance-denials","2019-04-01","National Security"
"House Judiciary Committee To Subpoena Mueller Report","https://www.allsides.com/story/house-judiciary-committee-subpoena-mueller-report","2019-04-01","US House"
"Federal Judge Finds Trump's Order to Oil Drilling in Open Arctic Waters Unlawful","https://www.allsides.com/story/federal-judge-finds-trumps-order-oil-drilling-open-arctic-waters-unlawful","2019-03-31","Environment"
"Trump Says He Will Close Border Next Week If Mexico Doesn't Stop Sending Migrants","https://www.allsides.com/story/trump-says-he-will-close-border-if-mexico-doesnt-stop-sending-migrants","2019-03-30","Immigration"
